eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
d937fe80-f0d9-4d6d-a644-76dee3c39b1e,67,True,"[(121, 154), (105, 160)]",166,166,62,67,166,105,265,265,105,275,121,265,105,265,105,275,121,275,121,275,121,265,105,275,121,265,105,265,105,275.0,121.0,265.0,105.0,271.5591,115.49459999999999,274.9931,120.989,1.0377358490566038,1.0
d937fe80-f0d9-4d6d-a644-76dee3c39b1e,67,True,"[(154, 121), (160, 105)]",166,166,67,62,166,160,265,265,160,275,154,265,160,265,160,275,154,275,154,275,154,265,160,275,154,265,160,265,160,275.0,154.0,265.0,160.0,271.5591,156.0645,274.9931,154.0041,1.0377358490566038,1.0
7fc3650d-ce24-4537-8943-99c99fb3162f,66,True,"[(99, 110), (68, 123)]",100,200,19,39,100,68,191,191,68,209,99,191,68,191,68,209,99,191,68,191,68,191,68,191,68,209,99,191,68,191.0,68.0,191.0,68.0,193.3357,72.02250000000001,191.0,68.0,1.094240837696335,1.0
7fc3650d-ce24-4537-8943-99c99fb3162f,66,True,"[(110, 99), (123, 68)]",200,100,39,19,200,123,191,191,123,209,110,191,123,191,123,209,110,191,123,191,123,191,123,191,123,209,110,191,123,191.0,123.0,191.0,123.0,193.3357,121.3132,191.0,123.0,1.094240837696335,1.0
dccac2f6-b990-4a95-a2dc-b29a63cbe74f,45,False,"[(159, 70)]",244,210,71,43,244,150,223,229,159,229,159,229,159,229,159,229,159,229,159,229,159,229,159,229,159,229,159,229,159,229.0,159.0,229.0,159.0,229.0,159.0,229.0,159.0,1.0269058295964126,1.0269058295964126
dccac2f6-b990-4a95-a2dc-b29a63cbe74f,45,False,"[(70, 159)]",210,244,43,71,210,73,223,229,70,229,70,229,70,229,70,229,70,229,70,229,70,229,70,229,70,229,70,229,70,229.0,70.0,229.0,70.0,229.0,70.0,229.0,70.0,1.0269058295964126,1.0269058295964126
c47b6f6a-f273-41c5-a0bd-f0e41a90383c,33,True,"[(116, 83)]",122,122,27,32,122,116,199,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199.0,116.0,199.0,116.0,199.0,116.0,199.0,116.0,1.0,1.0
c47b6f6a-f273-41c5-a0bd-f0e41a90383c,33,True,"[(83, 116)]",122,122,32,27,122,83,199,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199.0,83.0,199.0,83.0,199.0,83.0,199.0,83.0,1.0,1.0
419d52b5-ff7f-45e6-9ed2-25e0d65b348e,1,True,"[(67, 144), (84, 117)]",100,232,28,52,100,84,201,211,67,201,84,201,84,201,84,201,84,211,67,211,67,211,67,211,67,201,84,201,84,211.0,67.0,201.0,84.0,207.8693,72.3222,210.9981,67.00319999999999,1.0497512437810945,1.0
419d52b5-ff7f-45e6-9ed2-25e0d65b348e,1,True,"[(144, 67), (117, 84)]",232,100,52,28,232,117,201,211,144,201,117,201,117,201,117,201,117,211,144,211,144,211,144,211,144,201,117,201,117,211.0,144.0,201.0,117.0,207.8693,135.5471,210.9981,143.9949,1.0497512437810945,1.0
4e7e55b8-2ee7-4267-b74d-0e70c0cb1cd0,55,True,"[(134, 100)]",134,100,48,46,134,75,205,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234.0,134.0,234.0,134.0,234.0,134.0,234.0,134.0,1.1414634146341462,1.1414634146341462
4e7e55b8-2ee7-4267-b74d-0e70c0cb1cd0,55,True,"[(100, 134)]",100,134,46,48,100,130,205,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234.0,100.0,234.0,100.0,234.0,100.0,234.0,100.0,1.1414634146341462,1.1414634146341462
de4bf4a8-1a8f-4537-ac83-91665ceca6e3,11,True,"[(166, 420)]",166,420,66,110,166,157,579,586,166,586,166,586,166,586,166,586,166,586,166,586,166,586,166,586,166,586,166,586,166,586.0,166.0,586.0,166.0,586.0,166.0,586.0,166.0,1.012089810017271,1.012089810017271
de4bf4a8-1a8f-4537-ac83-91665ceca6e3,11,True,"[(420, 166)]",420,166,110,66,420,422,579,586,420,586,420,586,420,586,420,586,420,586,420,586,420,586,420,586,420,586,420,586,420,586.0,420.0,586.0,420.0,586.0,420.0,586.0,420.0,1.012089810017271,1.012089810017271
416265d0-6ae8-491e-9549-1fad231255e2,0,False,"[(57, 124), (88, 121)]",100,178,27,52,100,60,175,181,57,209,88,181,57,181,57,209,88,181,57,181,57,181,57,181,57,209,88,181,57,181.0,57.0,181.0,57.0,182.9051,59.1092,181.0,57.0,1.1942857142857144,1.0342857142857143
416265d0-6ae8-491e-9549-1fad231255e2,0,False,"[(124, 57), (121, 88)]",178,100,52,27,178,115,175,181,124,209,121,181,124,181,124,209,121,181,124,181,124,181,124,181,124,209,121,181,124,181.0,124.0,181.0,124.0,182.9051,123.7959,181.0,124.0,1.1942857142857144,1.0342857142857143
e6d2d05a-bc47-4dc9-b112-5a29586db880,56,True,"[(117, 150), (100, 167)]",276,320,60,87,276,103,261,267,100,267,117,267,117,267,117,267,117,267,117,267,117,267,100,267,117,267,100,267,117,267.0,111.5,267.0,100.0,267.0,108.6474,267.0,111.5,1.0229885057471264,1.0229885057471264
e6d2d05a-bc47-4dc9-b112-5a29586db880,56,True,"[(150, 117), (167, 100)]",320,276,87,60,320,158,261,267,167,267,150,267,150,267,150,267,150,267,150,267,150,267,167,267,150,267,167,267,150,267.0,155.5,267.0,167.0,267.0,158.3526,267.0,155.5,1.0229885057471264,1.0229885057471264
3ddfa87b-bf79-4765-adc8-be70b7211b71,34,True,"[(65, 132), (76, 109)]",100,222,27,46,100,76,185,197,65,185,76,185,76,185,76,185,76,197,65,197,65,197,65,197,65,185,76,185,76,197.0,65.0,185.0,76.0,192.2832,69.3237,196.9905,65.0086,1.0648648648648649,1.0
3ddfa87b-bf79-4765-adc8-be70b7211b71,34,True,"[(132, 65), (109, 76)]",222,100,46,27,222,109,185,197,132,185,109,185,109,185,109,185,109,197,132,197,132,197,132,197,132,185,109,185,109,197.0,132.0,185.0,109.0,192.2832,122.9595,196.9905,131.9819,1.0648648648648649,1.0
8601c6f1-92ad-4021-a586-f493a51d0f5a,67,True,"[(111, 78)]",122,100,27,27,122,57,169,189,111,189,111,189,111,189,111,189,111,189,111,189,111,189,111,189,111,189,111,189,111,189.0,111.0,189.0,111.0,189.0,111.0,189.0,111.0,1.1183431952662721,1.1183431952662721
8601c6f1-92ad-4021-a586-f493a51d0f5a,67,True,"[(78, 111)]",100,122,27,27,100,112,169,189,78,189,78,189,78,189,78,189,78,189,78,189,78,189,78,189,78,189,78,189,78,189.0,78.0,189.0,78.0,189.0,78.0,189.0,78.0,1.1183431952662721,1.1183431952662721
be04cb9a-4103-4131-8a92-e9dc3b394c32,0,False,"[(68, 179)]",100,278,28,81,100,71,241,247,68,247,68,247,68,247,68,247,68,247,68,247,68,247,68,247,68,247,68,247,68,247.0,68.0,247.0,68.0,247.0,68.0,247.0,68.0,1.0248962655601659,1.0248962655601659
be04cb9a-4103-4131-8a92-e9dc3b394c32,0,False,"[(179, 68)]",278,100,81,28,278,170,241,247,179,247,179,247,179,247,179,247,179,247,179,247,179,247,179,247,179,247,179,247,179,247.0,179.0,247.0,179.0,247.0,179.0,247.0,179.0,1.0248962655601659,1.0248962655601659
6cf30157-685d-469d-abfd-861d4e970043,56,True,"[(95, 62)]",100,112,19,22,100,104,153,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157,95,157.0,95.0,157.0,95.0,157.0,95.0,157.0,95.0,1.026143790849673,1.026143790849673
6cf30157-685d-469d-abfd-861d4e970043,56,True,"[(62, 95)]",112,100,22,19,112,49,153,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157,62,157.0,62.0,157.0,62.0,157.0,62.0,157.0,62.0,1.026143790849673,1.026143790849673
feca4b85-64c5-493f-b7db-f07b95e01326,33,True,"[(90, 78)]",90,78,36,33,90,97,139,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168,90,168.0,90.0,168.0,90.0,168.0,90.0,168.0,90.0,1.20863309352518,1.20863309352518
feca4b85-64c5-493f-b7db-f07b95e01326,33,True,"[(78, 90)]",78,90,33,36,78,42,139,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168,78,168.0,78.0,168.0,78.0,168.0,78.0,168.0,78.0,1.20863309352518,1.20863309352518
7a48ef18-33de-4493-b366-dedf74f05448,67,True,"[(95, 40)]",100,56,28,29,100,95,135,135,95,135,95,135,95,135,95,135,95,135,95,135,95,135,95,135,95,135,95,135,95,135.0,95.0,135.0,95.0,135.0,95.0,135.0,95.0,1.0,1.0
7a48ef18-33de-4493-b366-dedf74f05448,67,True,"[(40, 95)]",56,100,29,28,56,40,135,135,40,135,40,135,40,135,40,135,40,135,40,135,40,135,40,135,40,135,40,135,40,135.0,40.0,135.0,40.0,135.0,40.0,135.0,40.0,1.0,1.0
3d976bac-4bc1-4dcc-82fa-7344527d5e22,287,False,"[(726, 583)]",980,1134,312,383,980,726,1309,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309,726,1309.0,726.0,1309.0,726.0,1309.0,726.0,1309.0,726.0,1.0,1.0
3d976bac-4bc1-4dcc-82fa-7344527d5e22,287,False,"[(583, 726)]",1134,980,383,312,1134,583,1309,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309,583,1309.0,583.0,1309.0,583.0,1309.0,583.0,1309.0,583.0,1.0,1.0
32739497-04e4-4ea0-855f-0c73f9ecccea,57,True,"[(59, 92)]",112,112,23,27,112,59,151,151,59,151,59,151,59,151,59,151,59,151,59,151,59,151,59,151,59,151,59,151,59,151.0,59.0,151.0,59.0,151.0,59.0,151.0,59.0,1.0,1.0
32739497-04e4-4ea0-855f-0c73f9ecccea,57,True,"[(92, 59)]",112,112,27,23,112,92,151,151,92,151,92,151,92,151,92,151,92,151,92,151,92,151,92,151,92,151,92,151,92,151.0,92.0,151.0,92.0,151.0,92.0,151.0,92.0,1.0,1.0
5e568774-6846-49cf-a0a0-b4e4142f5087,57,True,"[(90, 90)]",90,90,22,18,90,48,151,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180.0,90.0,180.0,90.0,180.0,90.0,180.0,90.0,1.1920529801324504,1.1920529801324504
